選手名,呼びがな姓名,呼びがな姓のみ,デビュー年,デビュー団体,所属団体,引退フラグ,補足,twitter,wikipedia,instagram,tiktok
ジャガー横田,,,1977,,Diana,false,,,,,
長与千種,,,1980,,マーベラス,false,,,,,
ダンプ松本,,,1980,,フリー,false,,,,,
堀田祐美子,,,1985,,T-HEARTS,false,,,,,
神取忍,,,1986,,LLPW-X,false,,,,,
尾崎魔弓,,,1986,,OZ,false,,,,,
アジャコング,,,1986,,フリー,false,,,,,
下田美馬,,,1987,,フリー,false,,,,,
井上京子,,,1988,,Diana,false,,,,,
井上貴子,,,1988,,LLPW-X,false,,,,,
伊藤薫,,,1989,,伊藤道場,false,,,,,
渡辺智子,,,1989,,フリー,false,,,,,
さくらえみ,,,1995,,チョコプロ,false,,,,,
ミス・モンゴル,,,1995,,世界,false,,,,,
永島千佳世,,,1995,,フリー,false,,,,,
倉垣翼,,,1995,,フリー,false,,,,,
シン・広田・葛飾さくら,,,1996,,フリー,false,,,,,
KAZUKI,,,1997,,Pure-J,false,,,,,
藪下めぐみ,,,1997,,フリー,false,,,,,
AKINO,,,1998,,OZ,false,,,,,
救世忍者乱丸,,,1998,,フリー,false,,,,,
フキゲンです,,,1999,,Stardom,false,,,,,
米山香織,,,1999,,ゴキゲン,false,,,,,
MARU,,,2000,,AWG,false,,,,,
Leon,,,2000,,Pure-J,false,,,,,
山縣優,,,2000,,フリー,false,,,,,
唯我,,,2000,,フリー,false,,,,,
佐藤綾子,,,2001,,Diana,false,,,,,
桜花由美,,,2001,,Wave,false,,,,,
ハイビスカスみぃ,,,2002,,琉球,false,,,,,
バンビ,,,2004,,世界,false,,,,,
チェリー,,,2004,,フリー,false,,,,,
水波綾,,,2004,,フリー,false,,,,,
春日萌花,,,2005,,ガンプロ,false,,,,,
ラム会長,,,2005,,666,false,,,,,
群馬キャット,,,2005,,群馬,false,,,,,
みなみ飛香,,,2006,,IR/ホットシュシュ,false,"IR,V",,,,
みなみ飛香,,,2006,,Venus,false,"IR,V",,,,
中森華子,,,2006,,Pure-J,false,,,,,
DASHチサコ,,,2006,,SENDAI,false,,,,,
里歩,,,2006,,海外,false,AEW,,,,
野崎渚,,,2006,,フリー,false,,,,,
真琴,,,2006,,フリー,false,,,,,
松本浩代,,,2006,,フリー,false,,,,,
雫有希,,,2006,,フリー,false,,,,,
紫雷イオ,,,2007,,海外,false,WWE,,,,
紫雷美央,,,2007,,フリー,false,,,,,
キラ✩アン,,,2007,,フリー,false,,,,,
ガキにゃん仮面,,,2007,,フリー,false,,,,,
朱里,,,2008,,Stardom,false,,,,,
星ハム子,,,2008,,IR/ホットシュシュ,false,休,,,,
志田光,,,2008,,海外,false,AEW,,,,
松本都,,,2008,,フリー,false,,,,,
藤本つかさ,,,2008,,フリー,false,休,,,,
石橋葵,,,2009,,世界,false,,,,,
帯広さやか,,,2010,,チョコプロ,false,,,,,
世志琥,,,2010,,シード,false,休,,,,
柊くるみ,,,2010,,PR,false,,,,,
夏実もち,,,2010,,PR,false,,,,,
LINDA,,,2010,,信州,false,,,,,
鹿島沙希,,,2011,,Stardom,false,2026.4.26引退予定,,,,
岩谷麻優,,,2011,,マリゴ,false,,,,,
勝愛実,,,2011,,IR/ホットシュシュ,false,IR,,,,
ハイジ・カトリーナ,,,2011,,SENDAI,false,,,,,
HARUKAZE,,,2011,,ガンプロ,false,,,,,
Sareee,,,2011,,フリー,false,,,,,
フェアリー日本橋,,,2011,,フリー,false,,,,,
ビー・プレストリー,,,2012,,Stardom,false,,,,,
惡斗,,,2012,,AWG,false,休,,,,
瑞希,,,2012,,TJPW,false,,,,,
翔月なつみ,,,2012,,マリゴ,false,,,,,
彩羽匠,,,2012,,マーベラス,false,,,,,
